Index,Publisher,Category,MBFC_Bias
1,24/7 Wall St.,B,Least Biased
2,9to5Mac,C,Least Biased
3,A Wealth of Common Sense,E,Questionable
4,ABC Money,G,Left-Center
5,ABC News,A,Left-Center
6,ABC15 Arizona,F,Left-Center
7,ABC7 New York,F,Left-Center
8,About Amazon,D, Corporate_Blog
9,About Amazon Europe,D,Corporate_Blog
10,AdExchanger,B,Questionable
11,admiralmarkets.com,B,Questionable
12,Adweek,E,Least Biased
13,AFR,A,Right-Center
14,AFR (Australian Financial Review),A,Questionable
15,AI at Meta,D,Corporate_Blog
16,AI Business,C,Pro-Science
17,Al Jazeera,A,Left-Center
18,AlgorithmWatch,E,Left-Center
19,AlphaStreet,B,Least Biased
20,Amazon Frontlines,D,Corporate_Blog
21,Amazon Sustainability,D,Corporate_Blog
22,Amazon Web Services (AWS),D,Corporate_Blog
23,amazonwatch.org,E,Questionable
24,American Hospital Association,E,Questionable
25,American University,E,Questionable
26,Amnesty International,E,Left-Center
27,Analytics Insight,B,Questionable
28,Android Authority,C,Least Biased
29,Anduril,D,Corporate_Blog
30,AOL.com,A,Left-Center
31,AP News,A,Least Biased
32,AP News (Associated Press),A,Questionable
33,AppleInsider,C,Least Biased
34,Ark Invest,E,Questionable
35,Arnold & Porter,D,Corporate_Blog
36,As You Sow,E,Left
37,AskTraders.com,B,Questionable
38,Axios,A,Left-Center
39,AZFamily,F,Least Biased
40,Babson College,E,Questionable
41,Balkan Insight,E,Left-Center
42,Bankrate,B,Questionable
43,Barchart.com,B,Questionable
44,Barron's,B,Right-Center
45,Baton Rouge Business Report,F,Least Biased
46,BBC,A,Left-Center
47,Benzinga,B,Least Biased
48,Biometric Update,C,Least Biased
49,Bitcoinist.com,H,Questionable
50,Bloomberg,B,Left-Center
51,BMC Medical Research Methodology,E,Pro-Science
52,BNN Bloomberg,A,Left-Center
53,BoiseDev,F, Least Biased
54,BOMB Magazine,E,Questionable
55,Boy Genius Report, ,Questionable
56,Breaking Defense,G,Pro-Science
57,Broadcom,D,Corporate_Blog
58,Brookings, , Left-Center
